

% grado: 1-ii,2-is,3-ic,4-doble
% itinerario: 1-computacion,2-tic,3-no ha itinenario
% asigprimero: 1-fp,2-fc,3-ge,4-fee,5-mmi,6-mdl
% asigsegundo: 1-eda,2-tp,3-is,4-ec,5-toc,6-am,7-bd,8-pye
% 2. Sources:
%      (a) Creator: R.A. Fisher
%      (b) Donor: Michael Marshall (MARSHALL%PLU@io.arc.nasa.gov)
%      (c) Date: July, 1988
%
    
@RELATION iris

@ATTRIBUTE grado  NUMERIC
@ATTRIBUTE itinerario   NUMERIC
@ATTRIBUTE asignaturamejor1  NUMERIC
@ATTRIBUTE asignaturamejor12  NUMERIC
@ATTRIBUTE asignaturamejor2  NUMERIC
@ATTRIBUTE asignaturamejor22  NUMERIC
@ATTRIBUTE optativa   {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22}

@DATA
0.0,1.0,1.0,1.0,1.0,1.0,2
0.0,1.0,1.0,1.0,1.0,1.0,2
0.0,1.0,1.0,1.0,1.0,1.0,2
0.0,1.0,1.0,1.0,1.0,1.0,2
0.0,1.0,1.0,1.0,1.0,1.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,1.0,2.0,2.0,1.0,1.0,2
0.0,1.0,2.0,2.0,1.0,1.0,2
0.0,1.0,2.0,2.0,1.0,1.0,2
0.0,1.0,2.0,2.0,1.0,1.0,2
0.0,1.0,2.0,2.0,1.0,1.0,2
0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,1.0,1.0,1.0,1.0,2
0.0,0.0,1.0,1.0,1.0,1.0,2
0.0,0.0,1.0,1.0,1.0,1.0,1
0.0,0.0,1.0,1.0,1.0,1.0,0
0.0,0.0,1.0,1.0,1.0,1.0,0
2.0,1.0,3.0,3.0,9.0,1.0,16
2.0,1.0,3.0,3.0,9.0,1.0,13
2.0,1.0,3.0,3.0,9.0,1.0,12
2.0,1.0,3.0,3.0,9.0,1.0,10
2.0,1.0,3.0,3.0,9.0,1.0,9
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,11
0.0,1.0,0.0,1.0,1.0,3.0,3
0.0,1.0,0.0,1.0,1.0,3.0,2
0.0,1.0,0.0,1.0,1.0,3.0,1
0.0,1.0,0.0,1.0,1.0,3.0,0
0.0,1.0,0.0,1.0,1.0,3.0,1
0.0,1.0,3.0,5.0,2.0,6.0,5
0.0,1.0,3.0,5.0,2.0,6.0,8
0.0,1.0,3.0,5.0,2.0,6.0,19
0.0,1.0,3.0,5.0,2.0,6.0,9
0.0,1.0,3.0,5.0,2.0,6.0,11
